id,campaign_prompt,text,category,rewrite
mixed-010,Give me feedback as a colleague on my research proposal.,"The paper describes two methodologies for the automatic generation of rhythmic poetry. Both rely on neural networks, but the second one allows for better control of form. Good procedure for generating rhythmic poetry. Proposals for adding control of theme and poetic devices (alliteration, consonance, asonance). Strong results in evaluation of rhythm. Poor coverage of existing literature on poetry generation. No comparison with existing approaches to poetry generation. No evaluation of results on theme and poetic devices.",1,
mixed-074,How is my artwork?,The texture is overdone and turns the clean shapes into visual noise.,1,
mixed-094,Give me feedback as a colleague.,What an idiot.,4,
mixed-097,How is my artwork?,You have no taste.,4,
mixed-085,How is my artwork?,Nice colors.,1,
mixed-079,Give me feedback as a colleague.,Good work.,1,
mixed-031,Give me feedback as a colleague.,Your meeting notes made the owner and due date for each decision easy to find.,1,
mixed-025,Give me feedback as a colleague on my research proposal.,"This paper presents a neural network-based framework for dialogue state tracking. The main contribution of this work is on learning representations of user utterances, system outputs, and also ontology entries, all of which are based on pre-trained word vectors. Particularly for the utterance representation, the authors compared two different neural network models: NBT-DNN and NBT-CNN. The learned representations are combined with each other and finally used in the downstream network to make binary decision for a given slot value pair.",3,
mixed-014,Give me feedback as a colleague on my research proposal.,"Good ideas, simple neural learning, interesting performance (altough not striking) and finally large set of applications. amount of novel content. Clarity in some sections. The paper presents a neural learning method for entity disambiguation and linking. It introduces a good idea to integrate entity, mention and sense modeling within the smame neural language modeling technique. The simple training procedure connected with the modeling allows to support a large set of application. The paper is clear formally, but the discussion is not always at the same level of the technical ideas.",1,
mixed-035,Give me feedback as a colleague.,Your feedback on my draft was specific and included an example paragraph to revise.,1,
mixed-076,How is this latte art?,"Would clean my toilet with this, great!",4,
mixed-005,Give me feedback as a colleague on my research proposal.,The paper describes an idea to learn phrasal representation and facilitate them in RNN-based language models and neural machine translation -Strengths: The idea to incorporate phrasal information into the task is interesting. - The description is hard to follow. Proof-reading by an English native speaker would benefit the understanding - The evaluation of the approach has several weaknesses - General discussion - In Equation 1 and 2 the authors mention a phrase representation give a fix-length word embedding vector. But this is not used in the model. The representation is generated based on an RNN.,1,
mixed-052,Give me feedback as a colleague.,The meeting dragged forever because the agenda had no decisions attached to it.,2,The meeting could have been shorter if the agenda had decisions attached to it.
